,QuestionLink,Category,Correct,usedfor,lang,sectionType,optionA,optionB,optionC,optionD
0,https://i.imgur.com/KmbINOE.png,14.1,d,Groupx,English,groupxen,A,B,C,D
1,https://i.imgur.com/sXkKaNe.png,4.1,b,Groupx,English,groupxen,A,B,C,D
2,https://i.imgur.com/6IQi2hE.png,6.1,a,Groupx,English,groupxen,A,B,C,D
3,https://i.imgur.com/eg6kWpw.png,15.1,c,Groupx,English,groupxen,A,B,C,D
4,https://i.imgur.com/W6fnDvf.png,11.1,b,Groupx,English,groupxen,A,B,C,D
5,https://i.imgur.com/pecYU6S.png,15.1,c,Groupx,English,groupxen,A,B,C,D
6,https://i.imgur.com/czkbong.png,4.1,a,Groupx,English,groupxen,A,B,C,D
7,https://i.imgur.com/Ib4696N.png,14.1,c,Groupx,English,groupxen,A,B,C,D
8,https://i.imgur.com/CPHwuWr.png,23.1,d,Groupx,English,groupxen,A,B,C,D
9,https://i.imgur.com/9aU5Q87.png,26.1,d,Groupx,English,groupxen,A,B,C,D
10,https://i.imgur.com/HqF6eoy.png,4.1,c,Groupx,English,groupxen,A,B,C,D
11,https://i.imgur.com/uN6Dy2Z.png,2.1,d,Groupx,English,groupxen,A,B,C,D
12,https://i.imgur.com/glPRkv7.png,29.1,c,Groupx,English,groupxen,A,B,C,D
13,https://i.imgur.com/fHopvGv.png,15.1,b,Groupx,English,groupxen,A,B,C,D
14,https://i.imgur.com/qlNSB0v.png,4.1,d,Groupx,English,groupxen,A,B,C,D
15,https://i.imgur.com/0arOfs7.png,4.1,a,Groupx,English,groupxen,A,B,C,D
16,https://i.imgur.com/enat32y.png,4.1,d,Groupx,English,groupxen,A,B,C,D
17,https://i.imgur.com/FcKBY02.png,1.1,b,Groupx,English,groupxen,A,B,C,D
18,https://i.imgur.com/nlSU47W.png,1.1,d,Groupx,English,groupxen,A,B,C,D
19,https://i.imgur.com/0QBSAcZ.png,1.1,d,Groupx,English,groupxen,A,B,C,D
